1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
880.39,845.44,844.44,799.34,828.09,1598.03,1593.98,1742.68,913.24,884.24,928.44,952.44,901.44,943.94,873.64,935.14,946.94,1831.58,1934.38,2137.88,2093.28,978.94,905.89,911.44
855.09,827.74,813.04,815.24,810.85,1695.63,1785.18,1806.38,928.74,942.04,955.34,948.24,1002.84,976.34,992.44,988.64,963.54,1896.68,1974.08,2187.38,2183.68,1023.24,963.69,911.14
866.29,832.34,818.04,763.34,793.69,1600.43,1652.03,1791.78,939.34,943.94,929.64,924.64,909.04,920.94,934.34,856.24,884.94,1735.28,1916.98,2137.08,2156.88,1030.64,970.69,917.94
880.69,884.94,878.14,853.04,852.19,1723.53,1865.68,1978.68,997.64,985.24,1008.64,1020.54,1016.14,1004.84,1011.64,1023.99,1004.34,1969.18,2036.02,1944.56,2132.16,1026.78,1010.43,888.28
872.13,864.98,861.98,854.78,863.13,1777.41,1938.36,1955.04,961.24,997.84,1042.82,1022.04,1051.04,1034.27,1011.54,1001.24,954.24,237.08,2061.38,2106.48,1999.78,916.84,887.28,847.23
810.88,818.44,758.04,752.14,753.49,1441.83,1562.18,1759.88,891.54,912.04,957.54,960.64,991.44,995.84,991.44,976.54,959.94,1911.08,1916.08,2239.68,2166.82,986.74,937.89,878.94
752.59,729.34,738.64,729.44,748.29,1538.63,1735.98,1867.47,980.54,1050.54,1055.04,1053.74,1036.24,1038.44,1052.24,1054.34,992.04,1875.68,1973.98,2266.58,2219.58,1053.74,954.79,944.04
920.79,890.64,875.84,876.14,886.69,1820.03,1947.98,2061.08,1014.94,1062.8,1054.74,1050.54,999.24,997.14,966.44,986.74,965.14,1886.48,1978.58,2286.08,2164.78,980.84,955.29,924.64
883.79,806.34,804.54,789.94,802.29,1639.33,1798.48,1889.38,991.94,981.23,959.94,958.64,970.64,951.74,986.34,1004.64,981.64,1904.78,1894.48,2213.78,2182.68,980.64,904.09,889.04
870.89,825.24,790.44,781.04,766.19,1566.13,1724.38,1852.28,980.74,992.04,975.64,978.94,921.23,881.74,825.14,810.64,825.64,1648.88,1749.68,2113.58,2113.58,963.34,912.79,852.04
829.19,811.44,770.64,805.04,812.39,1648.13,1796.98,1951.08,1006.54,1016.04,1015.64,1013.54,1027.94,1016.74,1036.14,1013.74,985.04,1926.38,1983.28,2325.58,2343.78,1009.74,953.39,924.74
897.99,873.64,876.73,856.34,877.09,1831.13,1954.78,2033.78,1022.24,1058.84,1063.64,1063.34,1090.34,1096.24,1086.74,1087.34,1049.84,2036.08,2256.78,2385.28,2315.68,1043.84,968.69,955.04
934.09,909.15,911.94,870.94,877.09,1781.73,1904.88,1948.08,1015.44,1042.64,1051.14,1066.84,1093.54,1065.44,1081.34,1086.64,1074.34,2045.68,2079.18,2370.48,2382.78,1087.84,1038.29,1005.14
960.79,940.74,895.24,879.54,883.39,1795.83,1927.98,1994.98,1038.94,1058.54,1050.54,1076.94,1041.04,1046.54,1033.14,1041.14,997.94,1972.05,1980.48,2257.58,2207.58,1026.24,990.89,990.34
925.29,847.44,833.44,804.44,787.69,1620.73,1743.98,1774.28,920.04,937.94,952.64,955.94,977.14,1014.74,1031.54,1016.34,1006.84,2007.48,2018.88,2309.07,2294.18,1040.24,1016.39,958.52
948.89,791.74,809.44,823.14,842.19,1454.93,1668.38,1833.18,876.34,878.84,862.54,884.54,930.44,940.94,971.34,988.64,958.84,1857.68,1917.98,2275.38,2168.48,1006.74,920.49,907.74
870.19,857.83,834.84,841.24,849.99,1713.53,1812.98,1846.08,936.14,925.44,936.24,932.24,930.84,933.54,920.24,926.84,927.54,1812.68,1918.38,2233.48,2242.38,1033.44,996.59,955.44
947.79,927.54,891.84,894.34,868.89,1763.93,1869.88,2027.88,977.54,985.74,1004.74,1014.84,1019.44,1012.14,0,828.04,869.24,1723.68,1723.98,1979.78,1988.21,940.24,861.89,874.94
921.19,885.94,891.38,894.64,904.69,1839.73,1929.4,2021.58,991.64,1060.04,1041.14,1089.94,989.34,1047.34,982.25,914.84,993.44,1936.28,1950.08,2172.98,2147.38,1015.24,383.79,839.04
833.69,854.34,899.04,881.04,867.59,1805.13,1894.78,1903.08,979.4,968.74,993.84,1020.24,983.84,1011.04,1009.74,996.44,992.44,1975.58,1993.88,2287.28,2227.48,1043.14,969.49,963.44
899.49,895.14,869.04,870.24,871.09,1761.63,1873.88,1947.58,978.64,990.84,1023.44,1019.04,1018.54,1043.54,1051.54,1049.14,1030.54,2001.68,1993.58,2216.78,2171.33,838.84,809.06,847.34
